"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 07 12:49:22 MSK 2023","Wed Jun 07 12:49:30 MSK 2023","7969","","ui.HeaderNavigationTest","","ui.HeaderNavigationTest","AccountButton","Переход по клику на «Личный кабинет» в хедере",""
"passed","Wed Jun 07 12:50:54 MSK 2023","Wed Jun 07 12:50:58 MSK 2023","4672","","ui.RegistrationTest","","ui.RegistrationTest","shortPassword","Ошибка при регистрации. Минимальный пароль — шесть символов",""
"passed","Wed Jun 07 12:50:47 MSK 2023","Wed Jun 07 12:50:54 MSK 2023","7107","","ui.RegistrationTest","","ui.RegistrationTest","correctPassword","Успешная регистрация",""
"passed","Wed Jun 07 12:49:57 MSK 2023","Wed Jun 07 12:50:06 MSK 2023","8934","","ui.LoginTest","","ui.LoginTest","MainAccountButton","Вход по кнопке «Войти в аккаунт» на главной",""
"passed","Wed Jun 07 12:49:38 MSK 2023","Wed Jun 07 12:49:45 MSK 2023","7030","","ui.HeaderNavigationTest","","ui.HeaderNavigationTest","ConstructorButton","Переход из личного кабинета в конструктор по клику на «Конструктор» в хедере",""
"passed","Wed Jun 07 12:49:30 MSK 2023","Wed Jun 07 12:49:38 MSK 2023","7523","","ui.HeaderNavigationTest","","ui.HeaderNavigationTest","Logo","Переход из личного кабинета в конструктор по клику на логотип Stellar Burgers",""
"passed","Wed Jun 07 12:50:24 MSK 2023","Wed Jun 07 12:50:40 MSK 2023","16289","","ui.LoginTest","","ui.LoginTest","HeaderAccountButton","Вход через кнопку «Личный кабинет» в хедере",""
"passed","Wed Jun 07 12:50:40 MSK 2023","Wed Jun 07 12:50:46 MSK 2023","6645","","ui.LogoutTest","","ui.LogoutTest","logout","Выход по кнопке «Выйти» в личном кабинете",""
"passed","Wed Jun 07 12:49:45 MSK 2023","Wed Jun 07 12:49:57 MSK 2023","11819","","ui.LoginTest","","ui.LoginTest","ForgotPasswordPage","Вход через кнопку в форме восстановления пароля",""
"passed","Wed Jun 07 12:50:06 MSK 2023","Wed Jun 07 12:50:24 MSK 2023","17978","","ui.LoginTest","","ui.LoginTest","RegistrationPage","Вход через кнопку в форме регистрации",""
"passed","Wed Jun 07 12:48:55 MSK 2023","Wed Jun 07 12:49:22 MSK 2023","26645","","ui.ConstructorTest","","ui.ConstructorTest","tabsTest","Проверка переходов между разделами в конструкторе",""
